PARENT/Child,Question,Correct Answer,Tag
Child,8,"5 MILLION or 5 Million or 5 million or FIVE MILLION or Five Million or Five million or five million or 5,000,000 or 5000000",read.sumcom
Child,9,STORE or Store or store,read.sumcom
Child,10,LANDSLIDES or Landslides or landslides,read.sumcom
Child,11,EMISSIONS or Emissions or emissions,read.sumcom
Child,12,MANAGEMENT or Management or management,read.sumcom
Child,13,REVERSE or Reverse or reverse,read.sumcom
PARENT,ielts17AT6007,,
Child,1,NOT GIVEN or Not Given or Not given or not given,read.ynng
Child,2,NO or No or no or N or n,read.ynng
Child,3,NO or No or no or N or n,read.ynng
Child,4,YES or Yes or yes or Y or y,read.ynng
Child,5,YES or Yes or yes or Y or y,read.ynng
Child,6,NOT GIVEN or Not Given or Not given or not given,read.ynng
Child,7,REACTION or Reaction or reaction,read.sumcom
Child,8,NEOREALISM or Neorealism or neorealism,read.sumcom
Child,9,IMMIGRATED or Immigrated or immigrated,read.sumcom
Child,10,AUTHENTICITY or Authenticity or authenticity,read.sumcom
Child,11,CHARACTERS or Characters or characters,read.sumcom
Child,12,E or e,read.mtcsentend
Child,13,A or a,read.mtcsentend
Child,14,B or b,read.mtcsentend
PARENT,ielts17GT1001,,
Child,1,132,read.shans
Child,2,212,read.shans
Child,3,101,read.shans
Child,4,221,read.shans
Child,5,134,read.shans
Child,6,122,read.shans
Child,7,DRINK WATER or Drink Water or Drink water or drink water,read.shans
Child,8,D or d,read.mtcinfo
Child,9,C or c,read.mtcinfo
Child,10,E or e,read.mtcinfo
Child,11,A or a,read.mtcinfo
Child,12,B or b,read.mtcinfo
Child,13,F or f,read.mtcinfo
Child,14,G or g,read.mtcinfo
PARENT,ielts17GT1002,,
Child,1,STUDENT CENTRE or Student Centre or Student centre or student centre or STUDENT CENTER or Student Center or Student center or student center,read.shans
Child,2,67 or SIXTY-SEVEN or sixty-seven or SIXTY SEVEN or sixty seven,read.shans
Child,3,SATURDAY or Saturday,read.shans
Child,4,INTERNATIONAL STUDENT OFFICE or International Student Office,read.shans
Child,5,TOWN HOSPITAL or Town Hospital or Town hospital or town hospital or CASUALTY or Casualty or casualty,read.shans
Child,6,LIBRARY or Library or library,read.shans
Child,7,STUDENT CENTRE or Student Centre or Student centre or student centre or STUDENT CENTER or Student Center or Student center or student center,read.shans
Child,8,OR EQUIVALENT or Or Equivalent or Or equivalent or or equivalent,read.sumcom
Child,9,SUBJECTS or Subjects or subjects,read.sumcom
Child,10,ELIGIBLE or Eligible or eligible,read.sumcom
Child,11,A MINIMUM OF or A Minimum Of or A minimum of or a minimum of,read.sumcom
Child,12,BEFORE or Before or before,read.sumcom
Child,13,FURTHER INFORMATION or Further Information or Further information or further information,read.sumcom
PARENT,ielts17GT1003,,
Child,1,B or b,read.mtcinfo
Child,2,D or d,read.mtcinfo
Child,3,A ,read.mtcinfo
Child,4,E or e,read.mtcinfo
Child,5,C or c,read.mtcinfo
Child,6,TRUE or True or true or T or t,read.tfng
Child,7,NOT GIVEN or Not Given or Not given or not given,read.tfng
Child,8,FALSE or False or false or F or f,read.tfng
Child,9,FALSE or False or false or F or f,read.tfng
Child,10,SUPERMARKETS or Supermarkets or supermarkets,read.sentcom
Child,11,KOREA or Korea,read.sentcom
Child,12,6 or SIX or Six or six,read.mtchead
Child,13,1 or ONE or One or one,read.mtchead
PARENT,ielts17GT2001,,
Child,1,B or b,read.mtcinfo
Child,2,D or d,read.mtcinfo
Child,3,C or c,read.mtcinfo
Child,4,A or a,read.mtcinfo
Child,5,AT RECEPTION or At Reception or At reception or at reception or RECEPTION or Reception or reception,read.shans
Child,6,SCOTTISH BEEF or Scottish Beef or Scottish beef or SCOTTISH or Scottish,read.shans
Child,7,BUFFET BREAKFAST or Buffet Breakfast or Buffet breakfast or buffet breakfast or BREAKFAST or Breakfast or breakfast,read.shans
Child,8,D or d,read.mtcfeat
Child,9,C or c,read.mtcfeat
Child,10,B or b,read.mtcfeat
Child,11,C or c,read.mtcfeat
Child,12,A or a,read.mtcfeat
Child,13,D or d,read.mtcfeat
Child,14,A or a,read.mtcfeat
PARENT,ielts17GT2002,,
Child,1,BAKERY or Bakery or bakery,read.sentcom
Child,2,SPECIALIST ADVISORS or Specialist Advisors or Specialist advisors or specialist advisors,read.sentcom
Child,3,INCONSISTENT or Inconsistent or inconsistent,read.sentcom
Child,4,PHASE or Phase or phase,read.sentcom
Child,5,A REPORT or A Report or A report or a report or REPORT or Report or report,read.sentcom
Child,6,CHANGES or Changes or changes or ENGINEERING WORK or Engineering Work or Engineering work or engineering work,read.sentcom
Child,7,EMPLOYEE AND COMPANY or Employee And Company or Employee and Company or Employee and company or EMPLOYEE COMPANY or Employee Company or Employee company or employee company,read.shans
Child,8,A PROPOSAL or A Proposal or A proposal or a proposal or PROPOSAL or Proposal or proposal,read.shans
Child,9,THE HR DEPARTMENT or The HR Department or The HR department or the HR department or HR DEPARTMENT or HR Department or HR department or HR,read.shans
Child,10,THE SUPERVISOR or The Supervisor or The supervisor or the supervisor or SUPERVISOR or Supervisor or supervisor,read.shans
Child,11,THE HR DEPARTMENT or The HR Department or The HR department or the HR department or HR DEPARTMENT or HR Department or HR department or HR,read.shans
Child,12,IMPROVED or Improved or improved,read.shans
Child,13,COMMUNICATION AND AVAILABILITY or Communication And Availability or Communication and Availability or Communication and availability or communication and availability or COMMUNICATION AVAILABILITY or Communication Availability or Communication availability or communication availability,read.shans
PARENT,ielts17GT2003,,
Child,1,IX or ix,read.mtchead
Child,2,XI or xi,read.mtchead
Child,3,II or ii,read.mtchead
Child,4,VII or vii,read.mtchead
Child,5,I or i,read.mtchead
Child,6,III or iii,read.mtchead
Child,7,TRUE or True or true or T or t,read.tfng
Child,8,FALSE or False or false or F or f,read.tfng
Child,9,FALSE or False or false or F or f,read.tfng
Child,10,NOT GIVEN or Not Given or Not given or not given,read.tfng
Child,11,TRUE or True or true or T or t,read.tfng
Child,12,TRUE or True or true or T or t,read.tfng
Child,13,FALSE or False or false or F or f,read.tfng
